episode,total_reward,steps,termination
359,-38,54,1
360,0,16,1
361,-4,20,1
362,-46,62,1
363,-70,70,0
364,-16,32,1
365,-4,20,1
366,0,16,1
367,-70,70,0
368,-6,22,1
369,-44,60,1
370,-70,70,0
371,0,16,1
372,0,16,1
373,-4,20,1
374,-18,34,1
375,-12,28,1
376,2,14,1
377,-2,18,1
378,-2,18,1
379,-4,20,1
380,-6,22,1
381,-4,20,1
382,2,14,1
383,-12,28,1
384,0,16,1
385,-4,20,1
386,0,16,1
387,0,16,1
388,2,14,1
389,-42,58,1
390,-70,70,0
391,-6,22,1
392,-22,38,1
393,-70,70,0
394,-36,52,1
395,-22,38,1
396,-38,54,1
397,-16,32,1
398,2,14,1
399,-36,52,1
400,-10,26,1
401,0,16,1
402,2,14,1
403,-14,30,1
404,2,14,1
405,0,16,1
406,-14,30,1
407,-8,24,1
408,-12,28,1
409,-2,18,1
410,-40,56,1
411,-2,18,1
412,0,16,1
413,-4,20,1
414,-70,70,0
415,-4,20,1
416,-26,42,1
417,-2,18,1
418,-6,22,1
419,-70,70,0
420,-12,28,1
421,-50,66,1
422,-10,26,1
423,-8,24,1
424,-8,24,1
425,-70,70,0
426,-70,70,0
427,-20,36,1
428,-42,58,1
429,-34,50,1
430,2,14,1
431,-40,56,1
432,2,14,1
433,-8,24,1
434,0,16,1
435,2,14,1
436,2,14,1
437,-4,20,1
438,2,14,1
439,2,14,1
440,-4,20,1
441,2,14,1
442,-2,18,1
443,2,14,1
444,-16,32,1
445,-70,70,0
446,-14,30,1
447,-8,24,1
448,-70,70,0
449,-18,34,1
450,-16,32,1
451,-70,70,0
452,-70,70,0
453,-70,70,0
454,0,16,1
455,-18,34,1
456,-42,58,1
457,-8,24,1
458,-30,46,1
459,-4,20,1
460,2,14,1
461,2,14,1
462,2,14,1
463,-18,34,1
464,2,14,1
465,-2,18,1
466,-2,18,1
467,-14,30,1
468,-10,26,1
469,0,16,1
470,-2,18,1
471,-16,32,1
472,-6,22,1
473,-18,34,1
474,-6,22,1
475,-12,28,1
476,-8,24,1
477,2,14,1
478,-70,70,0
479,-32,48,1
480,-52,68,1
481,0,16,1
482,-70,70,0
483,-26,42,1
484,-16,32,1
485,-10,26,1
486,-6,22,1
487,-4,20,1
488,0,16,1
489,-2,18,1
490,-18,34,1
491,-2,18,1
492,-4,20,1
493,-8,24,1
494,2,14,1
495,-2,18,1
496,-2,18,1
497,-26,42,1
498,-2,18,1
499,-8,24,1
