Episode,Reward
1,-79.39999999999971
2,0.4
3,-2.2000000000000015
4,-4.599999999999996
5,-3.9999999999999982
6,-29.400000000000162
7,-2.2000000000000015
8,-18.0
9,0.20000000000000007
10,-16.59999999999998
11,-1.4000000000000008
12,-1.600000000000001
13,-3.4000000000000004
14,0.4
15,-29.400000000000162
16,-18.60000000000001
17,-4.999999999999995
18,-7.799999999999985
19,-7.399999999999986
20,-417.2000000000266
